"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.778455750E0,-1.747017059E0,-3.953129425E0,1.125913651E1
1.788389750E0,-1.880838776E0,-3.801045685E0,1.103610031E1
1.798322750E0,-1.890568542E0,-3.618874512E0,1.047791107E1
1.808255750E0,-1.761686554E0,-3.388802948E0,1.003513184E1
1.818189750E0,-1.604363708E0,-3.179987183E0,9.983638916E0
1.828122750E0,-1.481020203E0,-2.996768188E0,1.039618103E1
1.838055750E0,-1.520538025E0,-2.866389313E0,1.050590286E1
1.847988750E0,-1.585203552E0,-2.760409698E0,9.921518097E0
1.857922750E0,-1.579515381E0,-2.601739655E0,9.343120880E0
1.867855750E0,-1.407822418E0,-2.437980194E0,9.411977692E0
1.877788750E0,-1.299148407E0,-2.311193848E0,9.569001160E0
1.887721750E0,-1.374292145E0,-2.162253571E0,9.228908386E0
1.897654750E0,-1.445993042E0,-2.030527496E0,8.817414093E0
1.907588750E0,-1.387464752E0,-1.937720490E0,8.718320160E0
1.917521750E0,-1.279688873E0,-1.915865936E0,8.788374481E0
1.927454750E0,-1.375789032E0,-1.996548157E0,9.116192780E0
1.937387750E0,-1.600172424E0,-2.152074738E0,9.418114929E0
1.947321750E0,-1.799108734E0,-2.257605286E0,9.050329742E0
1.957254750E0,-1.801204376E0,-2.281405792E0,8.533155212E0
1.967187750E0,-1.575922852E0,-2.197430420E0,8.607849884E0
1.977120750E0,-1.314416656E0,-2.069596252E0,8.997639313E0
1.987054750E0,-1.273551636E0,-1.894310760E0,9.226213989E0
1.996987750E0,-1.381776581E0,-1.698817291E0,9.519753571E0
2.006920750E0,-1.450633392E0,-1.522184601E0,9.853110352E0
2.016854750E0,-1.319805450E0,-1.368154907E0,1.000594254E1
2.026787750E0,-1.002016296E0,-1.234482880E0,9.892628174E0
2.036720750E0,-5.140310669E-1,-1.090931396E0,9.855954437E0
2.046653750E0,-3.643423462E-1,-9.494755554E-1,9.863139496E0
2.056587750E0,-8.527766418E-1,-8.102650452E-1,9.669292603E0
2.066520750E0,-1.833836517E0,-5.878276062E-1,9.482930145E0
2.076453750E0,-2.870580597E0,-3.815565491E-1,9.698481903E0
2.086386750E0,-3.531156921E0,-2.719844055E-1,1.007539810E1
2.096319750E0,-3.534450073E0,-2.974314880E-1,1.029124924E1
2.106253750E0,-2.541864166E0,-4.279600525E-1,1.019544846E1
2.116186750E0,-1.165626068E0,-6.563850403E-1,9.746232605E0
2.126119750E0,-6.300398254E-1,-9.151968384E-1,9.546098785E0
2.136052750E0,-8.120613098E-1,-1.071621552E0,9.379944305E0
2.145986750E0,-9.825567627E-1,-1.079105988E0,8.885223083E0
2.155919750E0,-7.535330200E-1,-9.542655945E-1,8.133486328E0
2.165852750E0,-3.122506714E-1,-8.554710388E-1,7.544910278E0
2.175786750E0,1.339714050E-1,-8.517288208E-1,7.924969940E0
2.185719750E0,4.064048767E-1,-8.744815063E-1,9.556726685E0
2.195652750E0,2.462379456E-1,-8.165519714E-1,1.173454788E1
2.205585750E0,-2.977308655E-1,-6.378236389E-1,1.207538910E1
2.215518750E0,-7.304809570E-1,-4.420307922E-1,1.049766998E1
2.225452750E0,-9.500743103E-1,-4.249662781E-1,8.922645264E0
2.235385750E0,-9.129515076E-1,-4.808001709E-1,8.024812317E0
2.245318750E0,-6.659651184E-1,-4.388873291E-1,7.957751770E0
2.255251750E0,-3.614982605E-1,-3.203338623E-1,8.588839417E0
2.265185750E0,-3.305126953E-1,-1.380130005E-1,9.291927338E0
2.275118750E0,-9.672885132E-1,-2.694396973E-2,9.895621948E0
2.285051750E0,-2.005080414E0,-1.031355286E-1,1.002854553E1
2.294985750E0,-2.744842072E0,-1.706451416E-1,9.678423615E0
2.304918750E0,-2.939587097E0,-1.414558411E-1,9.406439209E0
