"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.469131890E-1,1.320838094E0,1.938186288E0,7.901100159E0
3.492461060E-1,1.301695466E0,1.885544300E0,8.006384850E0
3.515790230E-1,1.320838094E0,1.804188251E0,8.087740898E0
3.539119390E-1,1.363908887E0,1.732403636E0,8.140382767E0
3.562448040E-1,1.383051515E0,1.641476393E0,8.231309891E0
3.585777210E-1,1.435693622E0,1.545763373E0,8.288737297E0
3.609105850E-1,1.445264935E0,1.450050473E0,8.331808090E0
3.632435020E-1,1.406979680E0,1.359123230E0,8.370093346E0
3.655764180E-1,1.387837172E0,1.277767301E0,8.408378601E0
3.679093350E-1,1.359123230E0,1.191625714E0,8.413164139E0
3.702422000E-1,1.311266780E0,1.105484009E0,8.422736168E0
3.725751160E-1,1.277767301E0,1.000199914E0,8.437092781E0
3.749080330E-1,1.244267821E0,8.901300430E-1,8.417949677E0
3.772408980E-1,1.258624673E0,7.992027402E-1,8.379665375E0
3.795738140E-1,1.249053478E0,7.130611539E-1,8.350951195E0
3.819067310E-1,1.239482164E0,6.125625968E-1,8.303094864E0
3.842395960E-1,1.253839016E0,4.977070987E-1,8.240880966E0
3.865725120E-1,1.268195987E0,3.972085714E-1,8.173882484E0
3.889054290E-1,1.244267821E0,2.823530734E-1,8.121239662E0
3.912383460E-1,1.215553880E0,1.770688742E-1,8.097311974E0
3.935712100E-1,1.225125194E0,3.828516230E-2,8.087740898E0
3.959041270E-1,1.225125194E0,-7.178468257E-2,8.068597794E0
3.982370430E-1,1.225125194E0,-1.770688742E-1,8.049455643E0
4.005699080E-1,1.244267821E0,-2.871387303E-1,8.044670105E0
4.029028250E-1,1.234696507E0,-3.924229145E-1,8.035098076E0
4.052357410E-1,1.210768223E0,-4.737788737E-1,8.025527000E0
4.075686060E-1,1.205982566E0,-5.599204898E-1,7.996813297E0
4.099015230E-1,1.201196909E0,-6.652047038E-1,8.001599312E0
4.122344390E-1,1.186840057E0,-7.322037220E-1,8.025527000E0
4.145673040E-1,1.153340459E0,-7.752745152E-1,8.068597794E0
4.169002210E-1,1.115055323E0,-8.183453679E-1,8.130811691E0
4.192331370E-1,1.081555843E0,-8.949156404E-1,8.202595711E0
4.215660020E-1,1.052842021E0,-9.571290612E-1,8.269595146E0
4.238989180E-1,1.028913736E0,-9.858429432E-1,8.322237015E0
4.262318350E-1,9.714859724E-1,-1.009771109E0,8.365307808E0
4.285647520E-1,9.475577474E-1,-1.033699393E0,8.389236450E0
4.308976160E-1,9.284151793E-1,-1.095912814E0,8.413164139E0
4.332305330E-1,9.236295223E-1,-1.100698471E0,8.441878319E0
4.355634500E-1,9.140582681E-1,-1.119840980E0,8.484949112E0
4.378963140E-1,8.997012973E-1,-1.129412293E0,8.523234367E0
4.402292310E-1,9.619147182E-1,-1.201196909E0,8.365307808E0
4.425621480E-1,1.076770186E0,-1.335195065E0,8.068597794E0
4.448950120E-1,1.153340459E0,-1.464407444E0,7.757531166E0
4.472279290E-1,1.220339537E0,-1.502692580E0,7.499105930E0
4.495608460E-1,1.229910851E0,-1.464407444E0,7.336394310E0
4.518937100E-1,1.239482164E0,-1.363908887E0,7.341179848E0
4.542266270E-1,1.210768223E0,-1.258624673E0,7.470392227E0
4.565595430E-1,1.225125194E0,-1.191625714E0,7.642675400E0
4.588924080E-1,1.239482164E0,-1.134197950E0,7.776673794E0
4.612253250E-1,1.258624673E0,-1.086341500E0,7.843672752E0
4.635582410E-1,1.287338614E0,-1.019342422E0,7.891529083E0
4.658911580E-1,1.296909928E0,-9.427721500E-1,7.891529083E0
4.682240230E-1,1.268195987E0,-8.518448472E-1,7.800601959E0
4.705569390E-1,1.210768223E0,-7.848458290E-1,7.671389580E0
4.728898560E-1,1.186840057E0,-7.178468108E-1,7.532605648E0
4.752227210E-1,1.119840980E0,-6.508477330E-1,7.365108013E0
4.775556370E-1,1.105484009E0,-6.221339107E-1,7.192824841E0
4.798885540E-1,1.162911773E0,-5.934200287E-1,7.034898758E0
4.822214180E-1,1.244267821E0,-5.790630579E-1,6.924828529E0
4.845543350E-1,1.311266780E0,-5.790630579E-1,6.848258495E0
4.868872520E-1,1.368694544E0,-5.934200287E-1,6.752545357E0
4.892201160E-1,1.488335729E0,-6.077769399E-1,6.695117950E0
4.915530330E-1,1.574477315E0,-6.460621357E-1,6.613761902E0
4.938859500E-1,1.641476393E0,-6.364908218E-1,6.508477688E0
4.962188140E-1,1.698904037E0,-6.412764788E-1,6.374479294E0
4.985517310E-1,1.765903115E0,-7.130611539E-1,6.221338749E0
5.008846480E-1,1.808973908E0,-7.417750359E-1,6.116054535E0
5.032175640E-1,1.861616015E0,-7.513462901E-1,6.077769279E0
5.055504290E-1,1.923829436E0,-7.513462901E-1,6.125626087E0
5.078833460E-1,1.933400750E0,-6.939185858E-1,6.235695839E0
5.102162620E-1,1.895115495E0,-6.508477330E-1,6.431907177E0
5.125491270E-1,1.823330879E0,-5.647061467E-1,6.575476646E0
5.148820430E-1,1.722832322E0,-4.498506486E-1,6.690331936E0
5.172149600E-1,1.598405480E0,-3.110669553E-1,6.776473522E0
5.195478250E-1,1.493121386E0,-2.679961324E-1,6.814758778E0
5.218807410E-1,1.430907965E0,-2.153540403E-1,6.862615108E0
5.242136580E-1,1.421336651E0,-1.770688742E-1,6.967899323E0
5.265465230E-1,1.440479279E0,-2.105683982E-1,7.125825882E0
5.288794390E-1,1.493121386E0,-2.440679073E-1,7.336394310E0
5.312123560E-1,1.579262972E0,-3.014956415E-1,7.570890903E0
5.335452210E-1,1.617548108E0,-3.349951804E-1,7.814958572E0
5.358781370E-1,1.660618901E0,-3.541377485E-1,8.020741463E0
5.382110540E-1,1.698904037E0,-3.589234054E-1,8.135597229E0
5.405439710E-1,1.732403636E0,-3.684946895E-1,8.183453560E0
5.428768350E-1,1.789831281E0,-3.924229145E-1,8.245666504E0
5.452097000E-1,1.808973908E0,-4.498506486E-1,8.336593628E0
5.475426680E-1,1.875972986E0,-5.072783828E-1,8.470592499E0
5.498755330E-1,1.962114573E0,-5.503492355E-1,8.609375954E0
5.522084500E-1,2.115255117E0,-5.934200287E-1,8.719446182E0
5.545413660E-1,2.344966173E0,-6.173482537E-1,8.800801277E0
5.568742310E-1,2.593819857E0,-6.317051649E-1,8.882157326E0
5.592071480E-1,2.842673302E0,-6.269195080E-1,8.920442581E0
5.615400640E-1,3.139383316E0,-6.077769399E-1,8.906085968E0
5.638729290E-1,3.431307554E0,-6.269195080E-1,8.848658562E0
5.662058460E-1,3.732803345E0,-6.556333899E-1,8.791230202E0
5.685387620E-1,4.101297855E0,-7.226324677E-1,8.776873589E0
5.708716790E-1,4.469792843E0,-7.752745152E-1,8.810373306E0
5.732045430E-1,4.795216560E0,-8.279166222E-1,8.829515457E0
5.755374600E-1,5.091926575E0,-8.422735929E-1,8.819944382E0
5.778703770E-1,5.331208706E0,-8.087740541E-1,8.762516975E0
5.802032410E-1,5.517848969E0,-7.130611539E-1,8.685946465E0
5.825361580E-1,5.623133183E0,-6.125625968E-1,8.628518105E0
5.848690750E-1,5.680561066E0,-5.551348329E-1,8.537590981E0
5.872019390E-1,5.742774487E0,-4.737788737E-1,8.437092781E0
5.895348560E-1,5.776273727E0,-3.876372576E-1,8.346165657E0
5.918677730E-1,5.819344521E0,-3.254238665E-1,8.269595146E0
5.942006370E-1,5.814558983E0,-2.775674164E-1,8.202595711E0
5.965335540E-1,5.819344521E0,-2.105683982E-1,8.135597229E0
5.988664710E-1,5.833701611E0,-1.244267747E-1,8.121239662E0
6.011993350E-1,5.819344521E0,-6.699903309E-2,8.111668587E0
6.035322520E-1,5.790630817E0,-3.828516230E-2,8.106883049E0
6.058651680E-1,5.785845280E0,-2.871387079E-2,8.145168304E0
6.081980850E-1,5.781059742E0,-9.571290575E-3,8.250452042E0
6.105309500E-1,5.709274769E0,4.785645287E-3,8.355736732E0
6.128638660E-1,5.642275810E0,5.264209956E-2,8.480163574E0
6.151967830E-1,5.508277893E0,8.135596663E-2,8.633303642E0
6.175296480E-1,5.345565796E0,1.483550072E-1,8.748159409E0
6.198625640E-1,5.178068161E0,2.009970993E-1,8.858229637E0
6.221954810E-1,4.972285271E0,2.632105052E-1,8.934800148E0
6.245283460E-1,4.823930264E0,3.062812984E-1,9.016156197E0
6.268612620E-1,4.699503899E0,3.110669553E-1,9.174081802E0
6.291941790E-1,4.527220249E0,3.206382394E-1,9.365508080E0
6.315270430E-1,4.398007870E0,3.541377485E-1,9.609575272E0
6.338599600E-1,4.311866283E0,3.972085714E-1,9.891928673E0
6.361928770E-1,4.244867325E0,4.642075896E-1,1.020778179E1
6.385257410E-1,4.173082829E0,4.833501875E-1,1.049491978E1
6.408586580E-1,4.130012035E0,5.312066078E-1,1.072941685E1
6.431915750E-1,4.149154663E0,5.790630579E-1,1.093041420E1
6.455244910E-1,4.182653904E0,6.317051649E-1,1.105484104E1
6.478573560E-1,4.297509670E0,6.795616150E-1,1.111705399E1
6.501902730E-1,4.484149456E0,7.130611539E-1,1.116969585E1
6.525231890E-1,4.713860512E0,7.465606928E-1,1.126062298E1
6.548560540E-1,5.015356064E0,7.609176040E-1,1.132762241E1
6.571889710E-1,5.273781300E0,7.944171429E-1,1.139462185E1
6.595218870E-1,5.536991596E0,8.327022791E-1,1.149033451E1
6.618547520E-1,5.790630817E0,8.805587292E-1,1.154297638E1
6.641876680E-1,6.034698486E0,9.332008362E-1,1.153340530E1
6.665205850E-1,6.216553211E0,9.906286001E-1,1.150469112E1
6.688534500E-1,6.350551128E0,1.038485050E0,1.149033451E1
6.711863660E-1,6.484549522E0,1.081555843E0,1.151904774E1
6.735192830E-1,6.575476646E0,1.182054400E0,1.154297638E1
6.758522000E-1,6.637690067E0,1.263410330E0,1.152861977E1
6.781850640E-1,6.671189308E0,1.316052437E0,1.148076344E1
6.805179810E-1,6.695117950E0,1.368694544E0,1.144247818E1
6.828508980E-1,6.680760860E0,1.445264935E0,1.143290615E1
6.851837620E-1,6.714260101E0,1.478764415E0,1.137547874E1
6.875166790E-1,6.704689026E0,1.517049551E0,1.130369377E1
6.898495960E-1,6.656832695E0,1.564906001E0,1.125583744E1
6.921824600E-1,6.599404812E0,1.588834286E0,1.115055370E1
6.945153770E-1,6.551548481E0,1.579262972E0,1.104526901E1
6.968482930E-1,6.455835342E0,1.545763373E0,1.094955635E1
6.991811580E-1,6.393621922E0,1.531406522E0,1.083948612E1
7.015140750E-1,6.302694798E0,1.502692580E0,1.079641533E1
7.038469910E-1,6.187839508E0,1.473978758E0,1.078684425E1
7.061799080E-1,6.058627129E0,1.440479279E0,1.082991505E1
7.085127730E-1,5.862415314E0,1.411765337E0,1.086341476E1
7.108456890E-1,5.666203976E0,1.402194023E0,1.090170002E1
7.131786060E-1,5.469992638E0,1.373480201E0,1.091127110E1
7.155114710E-1,5.321637630E0,1.349551916E0,1.087298584E1
7.178443870E-1,5.197210789E0,1.287338614E0,1.083470058E1
7.201773040E-1,5.120640278E0,1.196411371E0,1.078205872E1
7.225101680E-1,5.072783947E0,1.100698471E0,1.072463131E1
7.248430850E-1,5.039284706E0,1.019342422E0,1.076291656E1
7.271760020E-1,5.034498692E0,9.427721500E-1,1.085384369E1
7.295088660E-1,5.053641319E0,8.901300430E-1,1.096869946E1
7.318417830E-1,5.077569485E0,8.757730722E-1,1.109791183E1
7.341747000E-1,5.120640278E0,8.757730722E-1,1.122712421E1
7.365076160E-1,5.197210789E0,8.949156404E-1,1.136112213E1
7.388404810E-1,5.283352375E0,9.523434043E-1,1.146162033E1
7.411733980E-1,5.383851051E0,1.014556766E0,1.154297638E1
7.435063140E-1,5.513063431E0,1.076770186E0,1.160519028E1
7.458391790E-1,5.608776093E0,1.153340459E0,1.168654537E1
7.481720960E-1,5.694917679E0,1.234696507E0,1.178704453E1
7.505050120E-1,5.776273727E0,1.292124271E0,1.196411324E1
7.528378770E-1,5.828916073E0,1.359123230E0,1.216511059E1
7.551707930E-1,5.843272686E0,1.368694544E0,1.239482117E1
7.575037100E-1,5.886343479E0,1.359123230E0,1.258624744E1
7.598365750E-1,5.929414749E0,1.373480201E0,1.280638695E1
7.621694910E-1,5.972485542E0,1.354337573E0,1.305045509E1
7.645024080E-1,5.943771362E0,1.349551916E0,1.328973675E1
7.668353250E-1,5.891129494E0,1.359123230E0,1.347637749E1
7.691681890E-1,5.824130535E0,1.426122308E0,1.361994648E1
7.715011060E-1,5.718846321E0,1.473978758E0,1.375394440E1
7.738340230E-1,5.670989513E0,1.497906923E0,1.385444355E1
7.761668870E-1,5.670989513E0,1.536192179E0,1.396451283E1
7.784998040E-1,5.661418438E0,1.574477315E0,1.408415413E1
7.808327210E-1,5.608776093E0,1.641476393E0,1.417029572E1
7.831655330E-1,5.560919762E0,1.698904037E0,1.419422436E1
7.854985020E-1,5.517848969E0,1.684547186E0,1.425165176E1
7.878314180E-1,5.469992638E0,1.694118381E0,1.430907917E1
7.901642830E-1,5.398207664E0,1.660618901E0,1.428515148E1
7.924972000E-1,5.345565796E0,1.622333765E0,1.426600838E1
7.948301160E-1,5.312066078E0,1.588834286E0,1.432822227E1
7.971629810E-1,5.288137913E0,1.588834286E0,1.443829155E1
7.994958980E-1,5.197210789E0,1.598405480E0,1.456750393E1
8.018288140E-1,5.125426292E0,1.598405480E0,1.468714523E1
8.041617310E-1,5.077569485E0,1.598405480E0,1.476371574E1
8.064945960E-1,4.991427898E0,1.560120344E0,1.481157207E1
8.088275120E-1,4.957928658E0,1.507478237E0,1.488335705E1
8.111604290E-1,4.910071850E0,1.473978758E0,1.495992756E1
8.134932930E-1,4.847858906E0,1.430907965E0,1.501735497E1
8.158262100E-1,4.790431023E0,1.363908887E0,1.503171158E1
8.181591270E-1,4.728217602E0,1.301695466E0,1.506042576E1
8.204919910E-1,4.680361271E0,1.292124271E0,1.510828209E1
8.228249080E-1,4.627718925E0,1.282552958E0,1.512263870E1
8.251578250E-1,4.565505505E0,1.306481123E0,1.512742519E1
8.274907410E-1,4.527220249E0,1.320838094E0,1.507956791E1
8.298236060E-1,4.488935471E0,1.335195065E0,1.506521130E1
8.321565230E-1,4.455435753E0,1.373480201E0,1.501735497E1
8.344894390E-1,4.417150497E0,1.421336651E0,1.494078445E1
8.368223040E-1,4.364508629E0,1.464407444E0,1.486899948E1
8.391552210E-1,4.354937077E0,1.497906923E0,1.480678654E1
8.414881370E-1,4.359723091E0,1.502692580E0,1.477807236E1
8.438210020E-1,4.378865242E0,1.550549030E0,1.477328682E1
8.461539180E-1,4.407579422E0,1.598405480E0,1.476371574E1
8.484868350E-1,4.417150497E0,1.679761529E0,1.474457359E1
8.508197000E-1,4.426722050E0,1.765903115E0,1.466800308E1
8.531526160E-1,4.460221291E0,1.871187329E0,1.453879070E1
8.554855330E-1,4.512863636E0,1.966900229E0,1.448614788E1
8.578184500E-1,4.546362877E0,2.072184324E0,1.447657681E1
8.601513140E-1,4.584648132E0,2.201396942E0,1.446222019E1
8.624841790E-1,4.646861553E0,2.340180635E0,1.446222019E1
8.648171480E-1,4.699503899E0,2.421536446E0,1.445264912E1
8.671500120E-1,4.814359188E0,2.488535643E0,1.443350601E1
8.694829290E-1,4.934000492E0,2.531606436E0,1.444307709E1
8.718158460E-1,5.024927616E0,2.560320139E0,1.442872047E1
8.741487100E-1,5.067998409E0,2.589034081E0,1.439043522E1
8.764816270E-1,5.058426857E0,2.689532757E0,1.428993702E1
8.788145430E-1,5.044070244E0,2.770888567E0,1.415593910E1
8.811474080E-1,5.077569485E0,2.857030153E0,1.401715469E1
8.834803250E-1,5.072783947E0,2.924029350E0,1.385922909E1
8.858132410E-1,5.111069202E0,2.952743053E0,1.374437332E1
8.881461580E-1,5.096712112E0,2.986242771E0,1.365823174E1
8.904790230E-1,5.101497650E0,2.995813847E0,1.359601784E1
8.928119390E-1,5.048855782E0,3.053241730E0,1.357687569E1
8.951448560E-1,5.010570526E0,3.086741209E0,1.357687569E1
8.974777210E-1,5.024927616E0,3.086741209E0,1.358644676E1
8.998106370E-1,5.039284706E0,3.125026464E0,1.357209015E1
9.021435540E-1,4.986642361E0,3.177668571E0,1.355294704E1
9.044764180E-1,4.943571568E0,3.239881754E0,1.352423382E1
9.068093350E-1,4.929214478E0,3.321237803E0,1.347637749E1
9.091422520E-1,4.943571568E0,3.393022537E0,1.342852020E1
9.114751160E-1,4.967499733E0,3.412165165E0,1.338066387E1
9.138080330E-1,5.058426857E0,3.402593851E0,1.333759308E1
9.161409500E-1,5.134997368E0,3.416950703E0,1.329452229E1
9.184738140E-1,5.192425251E0,3.426522017E0,1.327538013E1
9.208067310E-1,5.201996326E0,3.416950703E0,1.325145149E1
9.231396480E-1,5.182853699E0,3.445664644E0,1.326102352E1
9.254725640E-1,5.192425251E0,3.493520975E0,1.327059460E1
9.278054290E-1,5.235496044E0,3.517449379E0,1.328016567E1
9.301383460E-1,5.316852093E0,3.527020693E0,1.327538013E1
9.324712620E-1,5.417350292E0,3.550948858E0,1.323709488E1
9.348041270E-1,5.556134224E0,3.560520172E0,1.315573883E1
9.371370430E-1,5.699703693E0,3.531806231E0,1.310788250E1
