"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.919613875E0,-4.937244952E-1,-1.447176635E-1,-3.870240971E-2
1.929545875E0,-4.819797873E-1,-1.109100506E-1,-6.986965239E-2
1.939477875E0,-4.716256857E-1,-1.052047610E-1,-8.127410710E-2
1.949410875E0,-4.505853951E-1,-1.151022837E-1,-7.575331628E-2
1.959342875E0,-4.262228012E-1,-1.166940555E-1,-6.505459547E-2
1.969274875E0,-4.017111659E-1,-1.506330222E-1,-5.094718188E-2
1.979206875E0,-4.076513648E-1,-2.024362981E-1,-2.871538140E-2
1.989139875E0,-4.325681627E-1,-2.437031567E-1,-2.899719961E-2
1.999071875E0,-4.643095732E-1,-2.149586082E-1,-3.961069509E-2
2.009003875E0,-4.829675257E-1,-1.606438756E-1,-6.928139180E-2
2.018936875E0,-4.679603577E-1,-1.040804684E-1,-1.088778004E-1
2.028868875E0,-4.111560881E-1,-7.838667184E-2,-1.443830729E-1
2.038800875E0,-3.254920542E-1,-1.283006966E-1,-1.690572649E-1
2.048732875E0,-2.513561547E-1,-2.159121931E-1,-1.733771712E-1
2.058665875E0,-2.255242765E-1,-2.908005416E-1,-1.722618341E-1
2.068597875E0,-2.322135419E-1,-3.641564250E-1,-1.685935110E-1
2.078529875E0,-2.675744593E-1,-3.803135753E-1,-1.786400229E-1
2.088462875E0,-2.886762619E-1,-3.564156294E-1,-1.913303435E-1
2.098394875E0,-2.482697219E-1,-3.218778968E-1,-1.929396838E-1
2.108326875E0,-1.901589781E-1,-2.621420920E-1,-2.037905753E-1
2.118258875E0,-1.173902377E-1,-2.088985741E-1,-2.281273603E-1
2.128191875E0,-5.012898520E-2,-1.858478338E-1,-2.426599860E-1
2.138123875E0,-9.341074154E-3,-1.756135821E-1,-2.334353328E-1
2.148055875E0,4.738293588E-3,-1.328500658E-1,-2.099034339E-1
2.157988875E0,-7.866714150E-3,-1.260539293E-1,-1.889187843E-1
2.167920875E0,-2.508676238E-2,-1.366538107E-1,-1.660903245E-1
2.177852875E0,-2.636580728E-3,-1.139828488E-1,-1.591501236E-1
2.187784875E0,7.599828392E-2,-7.625094056E-2,-1.509485394E-1
2.197717875E0,1.089144200E-1,-8.522339165E-2,-1.430879533E-1
2.207649875E0,6.686640531E-2,-4.533962160E-2,-1.344229132E-1
2.217581875E0,1.495074667E-2,-8.561901748E-3,-1.046919003E-1
2.227514875E0,-7.907210849E-3,4.462623037E-3,-7.867187262E-2
2.237446875E0,2.649310604E-2,3.183885291E-2,-6.010458246E-2
2.247378875E0,1.043301895E-1,5.426478386E-2,-5.595614761E-2
2.257310875E0,1.807131171E-1,7.647341490E-2,-7.188291103E-2
2.267243875E0,2.098174244E-1,7.613363862E-2,-8.960959315E-2
2.277175500E0,2.109327614E-1,7.877522707E-2,-8.461856097E-2
2.287107500E0,2.034975886E-1,6.300099939E-2,-7.054517418E-2
2.297040500E0,1.957784295E-1,1.674695127E-2,-4.714105651E-2
2.306972500E0,2.025124133E-1,1.742694061E-3,-2.449890971E-2
2.316904500E0,2.229305953E-1,-4.086432979E-3,-2.095397748E-2
2.326836500E0,2.509489357E-1,-2.953365818E-2,-2.564706840E-2
2.336769500E0,2.709192038E-1,-6.182608381E-2,-3.143012151E-2
2.346701500E0,2.862335742E-1,-7.763016969E-2,-3.185234964E-2
2.356633500E0,2.988753319E-1,-8.032262325E-2,-4.838099331E-2
2.366566500E0,3.068524301E-1,-6.880676001E-2,-6.849892437E-2
2.376498500E0,3.114421070E-1,-2.341877297E-2,-9.602642059E-2
2.386430500E0,3.318949640E-1,-2.144265547E-2,-1.096781492E-1
2.396362500E0,3.494939208E-1,-6.674515456E-2,-1.072722524E-1
2.406295500E0,3.693623841E-1,-9.722156078E-2,-9.656877071E-2
2.416227500E0,3.813546002E-1,-1.187665313E-1,-8.395203948E-2
2.426159500E0,3.879244924E-1,-1.287836879E-1,-7.171685249E-2
2.436091500E0,3.672237396E-1,-8.030164242E-2,-8.679992706E-2
2.446024500E0,3.638873100E-1,-4.461844638E-2,-1.002275646E-1
2.455956500E0,3.927988708E-1,-2.001349814E-2,-1.083262414E-1
2.465888500E0,4.242440164E-1,5.378322210E-3,-1.129674464E-1
2.475821500E0,4.410906434E-1,6.015616935E-3,-1.087071896E-1
2.485753500E0,4.424019456E-1,6.531029940E-3,-1.037403569E-1
2.495685500E0,4.390703440E-1,2.994900569E-2,-9.427174926E-2
2.505617500E0,4.483048916E-1,4.142582789E-2,-8.678362519E-2
2.515550500E0,4.596739113E-1,3.990436345E-2,-7.447262853E-2
2.525482500E0,4.835162461E-1,2.523490787E-2,-5.960132927E-2
2.535414500E0,5.044004917E-1,2.768208645E-2,-6.014807895E-2
2.545347500E0,5.403925776E-1,4.214434326E-2,-6.851638854E-2
2.555279500E0,5.750557780E-1,2.683942392E-2,-7.720628381E-2
2.565211500E0,6.038982868E-1,-1.510910317E-2,-8.087830245E-2
2.575143500E0,6.352804303E-1,-5.483174697E-2,-7.875416428E-2
2.585076500E0,6.556640863E-1,-6.946886331E-2,-7.721485943E-2
2.595008500E0,6.667225957E-1,-3.948219866E-2,-8.523496985E-2
2.604940500E0,6.766037345E-1,-7.967415266E-3,-9.120018035E-2
2.614873500E0,6.895826459E-1,-3.022457706E-3,-9.940218180E-2
2.624805500E0,6.882619262E-1,-2.194671892E-2,-1.040942296E-1
2.634737500E0,6.719244719E-1,-2.280691825E-2,-1.002699286E-1
2.644669500E0,6.587701440E-1,-1.074301358E-2,-9.641083330E-2
