"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.152138542E0,1.115962639E-1,3.289730251E-1,7.631076127E-2
3.162070542E0,1.515820324E-1,3.090682924E-1,5.040406436E-2
3.172002542E0,2.054083645E-1,2.784768939E-1,3.517374769E-2
3.181934542E0,2.495728880E-1,2.603455484E-1,3.254121542E-2
3.191866542E0,2.765488625E-1,2.738003135E-1,4.106072709E-2
3.201798542E0,2.813121974E-1,2.967082858E-1,5.189659446E-2
3.211730542E0,2.950332761E-1,3.180907667E-1,6.317279488E-2
3.221662542E0,3.532212079E-1,3.033054173E-1,6.892734766E-2
3.231595542E0,4.321107268E-1,2.562956810E-1,8.055481315E-2
3.241527542E0,4.649043679E-1,1.899006665E-1,9.977883846E-2
3.251459542E0,4.624217749E-1,1.617723554E-1,1.119817123E-1
3.261391542E0,4.597474337E-1,1.802650839E-1,9.125459194E-2
3.271323542E0,4.582856894E-1,2.075254619E-1,4.780094698E-2
3.281255542E0,4.765840173E-1,2.352681458E-1,6.450844463E-3
3.291187542E0,5.282903314E-1,2.298691422E-1,-3.679875750E-3
3.301120542E0,5.861139297E-1,2.147359997E-1,6.641205400E-3
3.311052542E0,6.424408555E-1,2.008292079E-1,1.898421347E-2
3.320984542E0,6.900483370E-1,1.565701365E-1,2.862485684E-2
3.330916542E0,7.221035957E-1,1.156279668E-1,3.545713052E-2
3.340848542E0,7.249949574E-1,1.258382648E-1,2.980696782E-2
3.350780542E0,6.836026311E-1,1.632926613E-1,2.671944350E-2
3.360712542E0,5.741989017E-1,2.276154459E-1,2.169938385E-2
3.370645542E0,4.601692259E-1,2.620945871E-1,2.853438631E-2
3.380577542E0,4.413265884E-1,2.150458694E-1,3.380531445E-2
3.390509542E0,5.308917761E-1,1.388812363E-1,5.465182289E-2
3.400441542E0,6.569245458E-1,1.105159000E-1,8.340996504E-2
3.410373542E0,7.315635085E-1,1.415048093E-1,1.340863705E-1
3.420306417E0,7.114135027E-1,1.943882555E-1,1.762207747E-1
3.430238417E0,6.103581786E-1,2.655046582E-1,1.642114818E-1
3.440171417E0,4.756152928E-1,2.737708390E-1,1.218973100E-1
3.450103417E0,3.701286912E-1,2.317617536E-1,6.739585847E-2
3.460035417E0,3.413969278E-1,1.846078187E-1,1.462718938E-2
3.469967417E0,3.652388155E-1,1.254136562E-1,-7.527008653E-3
3.479899417E0,4.431858361E-1,1.098810360E-1,-1.259180903E-2
3.489831417E0,5.197242498E-1,1.384460330E-1,6.487451959E-3
3.499763417E0,5.646418929E-1,1.721019894E-1,4.562073946E-2
3.509696417E0,5.127909184E-1,1.811653972E-1,6.234961003E-2
3.519628417E0,4.142049551E-1,2.030536532E-1,3.199942783E-2
3.529560417E0,3.388039172E-1,1.929728985E-1,-1.787730493E-2
